label_id,space_similarity,material_similarity,defect_similarity,actual_space,predicted_space,actual_material,predicted_material,actual_defect,predicted_defect
07a2ec04-af8e-40c5-94ad-26b5bd3a8b4c,0.5634350776672363,0.15771299600601196,0.34175634384155273,주방,Entrance / Hallways / Storage,마루,Wood paneling,코킹불량,Finishing / Surface Issues
f5f68ffd-54db-454f-b862-5e06d03b29a8,0.5634350776672363,0.21243484318256378,0.34175634384155273,주방,Entrance / Hallways / Storage,마루,Wood (baseboard),코킹불량,Finishing / Surface Issues
87595a25-6be9-42ef-9dfa-d1d3c3e225b3,0.40749087929725647,0.15771299600601196,0.34175634384155273,주방,Living Room,마루,Wood paneling,코킹불량,Finishing / Surface Issues
bb2583bb-1f2e-4646-8b77-9e43f44d905b,0.5634350776672363,0.18108046054840088,0.12558141350746155,주방,Entrance / Hallways / Storage,마루,Wood (flooring) and metal (baseboard),코킹불량,Structural Damage & Cracks
d6b185f4-6fe0-4a45-8ab4-767b2c5d51ca,0.40749087929725647,0.20613913238048553,0.34175634384155273,주방,Living Room,마루,Painted Wood Trim,코킹불량,Finishing / Surface Issues
4916c446-f780-449c-9c10-a1f87309bde7,0.5634350776672363,0.5207377672195435,0.34175634384155273,주방,Entrance / Hallways / Storage,마루,Caulking,코킹불량,Finishing / Surface Issues
d2c5cda6-a3f6-475c-a229-e1840ee16314,0.5634350776672363,0.366851806640625,0.12558141350746155,주방,Entrance / Hallways / Storage,마루,Wood,코킹불량,Structural Damage & Cracks
15f45e24-2af8-4c86-bf01-a8909b21d5ce,0.9157058596611023,0.18317881226539612,0.2759518623352051,욕실,Bathroom / Hygiene Spaces,UBR,Metal (likely stainless steel or chrome-plated brass),누수,Structural Damage & Cracks
fc680ec9-da34-41aa-ac81-0455a312627d,0.6152337789535522,0.27201470732688904,0.34175634384155273,공용욕실,Bathroom / Hygiene Spaces,실리콘,Ceramic sink,코킹불량,Finishing / Surface Issues
25140fc3-f43a-4cf5-bea2-4d976ce73056,0.3275296092033386,0.23315361142158508,0.44125401973724365,발코니,Bathroom / Hygiene Spaces,페인트,PVC pipes,박리,Installation / Construction Faults
46d3b7cf-60a6-4062-b8ca-3530847e3df7,0.49948132038116455,0.6694821119308472,0.5000936985015869,발코니(주방),Entrance / Hallways / Storage,페인트,Painted Wall,박리,Finishing / Surface Issues
0cd629c7-0919-41cf-8d8a-1c811dd9785d,0.7141123414039612,0.27067410945892334,0.19907109439373016,현관,Entrance / Hallways / Storage,페인트,Drywall,박리,Structural Damage & Cracks
a72bbd55-3aae-4080-b879-851d69c3c8e2,0.23460835218429565,0.33644282817840576,0.44125401973724365,발코니(주방),Kitchen & Dining Spaces - Kitchen,페인트,Flooring (wooden),박리,Installation / Construction Faults
5d8d47ef-349f-4d7d-8596-d811f1a05b3f,0.6627585887908936,0.47221097350120544,0.3864471912384033,세탁실,Bathroom / Hygiene Spaces,오/배수배관,Ceiling,누수,Leakage & Water-related Issues
848f6711-a042-4bd3-95ef-5650e1ed7528,0.527009904384613,0.39541661739349365,0.3864471912384033,세탁실,Utility Room (next to Kitchen),오/배수배관,PVC Pipe,누수,Leakage & Water-related Issues
